aqi,dt,co,no,no2,o3,so2,pm2_5,pm10,nh3
5,1701363600,5661.01,128.75,42.5,0.0,56.74,246.02,294.09,29.64
5,1701367200,4699.71,109.08,34.62,0.0,42.44,199.75,233.37,22.29
5,1701370800,3791.81,84.94,26.73,0.0,29.8,157.48,177.82,17.23
5,1701374400,3017.43,61.69,20.91,0.0,22.41,121.27,132.87,13.05
5,1701378000,2456.67,46.04,17.82,0.0,19.55,96.76,104.39,10.26
4,1701381600,1588.82,24.59,20.05,0.0,19.55,58.44,63.65,7.6
3,1701385200,1241.68,17.43,20.56,0.01,21.46,43.58,49.6,7.6
3,1701388800,1268.39,19.45,20.56,0.51,25.99,42.74,51.66,9.63
3,1701392400,1482.01,28.61,22.62,1.63,35.29,44.84,56.52,10.64
3,1701396000,1628.88,35.76,27.08,1.81,44.35,45.33,59.1,11.65
3,1701399600,1535.42,37.1,31.87,1.41,53.41,41.7,55.7,12.54
2,1701403200,660.9,6.03,30.16,15.91,29.8,14.07,19.56,5.7
2,1701406800,567.44,3.41,28.45,24.32,29.56,10.78,15.0,5.07
2,1701410400,554.08,3.24,26.73,30.04,29.33,10.02,13.95,4.88
2,1701414000,520.71,2.18,26.39,31.11,28.37,8.56,12.2,4.69
2,1701417600,534.06,1.56,31.19,25.03,32.9,8.5,12.16,5.0
2,1701421200,587.46,0.86,37.01,18.42,37.67,9.28,13.45,5.64
3,1701424800,1455.31,15.42,55.52,2.21,55.79,26.66,37.64,14.06
4,1701428400,2670.29,47.83,59.63,0.02,69.62,56.9,78.13,24.57
4,1701432000,2937.32,55.43,54.15,0.0,61.04,74.35,102.83,27.11
5,1701435600,3150.94,55.88,46.61,0.0,52.45,97.88,134.45,25.08
5,1701439200,3738.4,66.16,41.47,0.0,52.93,134.97,181.23,25.08
5,1701442800,4165.65,75.1,38.04,0.0,54.36,167.61,222.2,26.09
5,1701446400,4325.87,80.47,35.3,0.0,51.5,179.64,236.35,25.33
5,1701450000,4219.06,85.83,32.9,0.0,45.3,175.79,228.33,19.76
5,1701453600,4005.43,85.83,30.5,0.0,35.76,170.5,217.24,15.45
5,1701457200,3231.05,67.06,26.73,0.0,23.84,141.53,177.63,13.05
5,1701460800,2590.18,47.83,24.68,0.0,18.84,112.45,139.65,12.29
5,1701464400,2243.04,38.0,24.33,0.0,18.12,95.93,117.38,12.03
5,1701468000,2056.12,33.08,24.33,0.0,19.55,85.48,103.58,11.78
5,1701471600,1949.31,31.29,23.65,0.0,22.41,77.15,95.45,12.16
5,1701475200,2082.82,36.66,22.62,0.37,29.33,78.65,99.26,14.95
5,1701478800,2563.48,55.88,24.33,0.94,46.25,90.99,115.09,18.24
5,1701482400,3044.13,78.68,30.16,1.97,66.76,105.89,133.03,21.03
5,1701486000,3097.53,87.62,43.87,4.02,89.65,112.17,140.27,23.31
5,1701489600,1842.5,50.96,63.75,12.16,99.18,82.26,100.44,14.19
5,1701493200,1602.17,31.74,85.68,23.25,105.86,91.69,107.16,11.27
5,1701496800,1762.39,25.26,106.93,30.4,117.3,113.03,128.92,11.02
5,1701500400,1602.17,13.52,105.56,34.33,99.18,103.66,116.68,9.37
5,1701504000,1308.44,6.2,90.48,34.69,76.29,77.65,87.5,8.23
4,1701507600,1094.82,2.74,76.77,32.54,62.94,57.05,64.66,7.47
4,1701511200,1708.98,7.1,86.37,8.94,62.94,66.36,77.75,12.67
5,1701514800,2857.21,32.19,89.11,0.04,65.8,98.07,117.95,18.24
5,1701518400,3524.78,51.41,80.2,0.0,61.99,124.0,152.45,20.77
5,1701522000,4005.43,63.48,67.86,0.0,61.99,145.81,181.17,22.55
5,1701525600,4486.08,70.63,65.12,0.0,64.85,167.32,206.97,20.27
5,1701529200,4646.3,65.27,78.14,0.0,63.9,183.9,227.16,16.72
5,1701532800,3791.81,42.47,89.11,0.0,52.45,162.73,199.78,12.03
5,1701536400,3524.78,35.76,87.74,0.0,40.05,161.49,192.59,9.75
5,1701540000,3471.37,34.87,85.68,0.0,35.29,171.86,199.84,10.01
5,1701543600,3471.37,34.87,84.31,0.0,33.38,194.89,219.6,12.41
5,1701547200,3471.37,36.21,78.83,0.0,35.29,212.9,236.28,17.48
5,1701550800,3471.37,42.47,74.03,0.0,44.82,228.35,251.64,25.33
5,1701554400,3578.19,53.64,72.66,0.0,61.04,244.96,268.7,33.44
5,1701558000,3631.59,63.48,67.17,0.0,64.85,255.18,278.64,30.4
5,1701561600,3738.4,69.74,61.69,0.28,64.85,262.05,285.92,25.08
5,1701565200,3952.03,83.15,66.49,2.82,79.15,273.15,298.69,21.53
5,1701568800,4592.9,95.67,95.96,9.66,106.81,314.0,345.21,21.03
5,1701572400,4913.33,78.68,167.25,32.9,152.59,386.16,421.2,19.25
5,1701576000,2857.21,28.39,150.8,103.0,148.77,293.02,315.38,6.08
5,1701579600,2162.93,10.62,101.45,183.11,120.16,256.63,274.93,4.43
5,1701583200,1735.69,4.02,57.58,248.91,90.6,236.2,253.97,4.88
5,1701586800,1268.39,1.13,37.36,231.74,63.9,171.66,187.48,6.59
5,1701590400,1081.47,0.75,39.41,174.52,58.17,123.98,138.16,7.35
5,1701594000,988.01,0.5,42.5,131.61,54.84,93.1,106.06,7.6
5,1701597600,1789.09,0.25,72.66,77.96,62.94,106.28,123.57,14.31
5,1701601200,3124.24,0.72,116.53,21.1,73.43,144.48,167.98,20.77
5,1701604800,4112.24,13.86,131.61,0.26,77.25,176.05,204.78,22.8
5,1701608400,4966.74,34.42,123.38,0.0,78.2,208.54,245.07,25.08
5,1701612000,5500.79,53.64,105.56,0.0,73.43,231.6,276.46,25.84
5,1701615600,5554.2,67.95,81.57,0.0,63.9,239.46,289.87,24.83
5,1701619200,5126.95,73.31,60.32,0.0,62.94,220.48,273.16,32.93
5,1701622800,4592.9,75.1,50.72,0.0,70.57,197.41,249.62,45.09
5,1701626400,4539.49,83.15,49.35,0.0,84.88,200.22,254.33,56.74
5,1701630000,4646.3,87.62,50.72,0.0,93.46,219.38,274.44,65.86
5,1701633600,4753.11,87.62,52.78,0.0,93.46,247.02,298.35,68.9
