aqi,dt,co,no,no2,o3,so2,pm2_5,pm10,nh3
2,1706720400,587.46,0.01,27.08,37.91,23.6,12.07,19.95,5.45
2,1706724000,534.06,0.0,25.36,40.05,22.89,11.1,17.68,4.94
2,1706727600,527.38,0.01,26.73,37.55,25.03,12.07,18.54,5.26
2,1706731200,567.44,0.02,30.16,30.76,29.56,14.27,21.58,6.08
2,1706734800,600.81,0.09,33.59,23.6,33.86,16.43,24.65,6.71
2,1706738400,647.54,0.37,38.04,15.38,39.58,18.49,27.67,7.35
2,1706742000,707.63,1.49,42.16,7.6,44.82,20.49,30.57,8.11
3,1706745600,934.6,8.72,42.5,5.05,52.45,27.0,39.34,10.13
3,1706749200,1268.39,21.68,41.47,11.18,60.56,33.43,48.73,13.05
3,1706752800,1401.9,28.39,44.55,23.96,69.62,35.62,53.27,15.2
3,1706756400,1348.5,22.13,55.52,54.36,78.2,38.4,57.0,15.58
2,1706760000,807.76,3.13,40.44,76.53,46.25,22.65,32.18,8.23
2,1706763600,747.68,2.15,37.36,76.53,45.3,21.3,28.66,7.28
2,1706767200,781.06,1.51,39.41,77.96,48.16,22.66,29.83,7.47
2,1706770800,814.44,0.52,43.53,72.96,49.59,23.32,29.92,7.66
2,1706774400,867.84,0.47,49.35,64.37,54.36,24.4,30.93,8.49
2,1706778000,907.9,0.39,52.78,56.51,56.74,23.93,30.76,8.99
3,1706781600,1134.87,2.4,70.6,36.48,71.53,27.79,37.76,12.16
3,1706785200,1281.74,1.72,74.71,17.52,70.57,30.16,44.23,14.19
3,1706788800,1121.52,0.54,56.21,13.05,49.59,27.28,43.1,13.17
3,1706792400,961.3,0.2,44.55,19.13,38.15,25.42,42.0,12.03
2,1706796000,881.2,0.13,42.5,21.46,36.72,24.87,41.63,11.4
3,1706799600,854.49,0.13,41.81,21.82,36.72,25.39,42.56,11.15
2,1706803200,821.11,0.14,39.76,21.46,35.29,23.83,40.53,10.13
2,1706806800,714.3,0.14,36.67,21.28,31.95,19.09,33.63,8.36
2,1706810400,627.52,0.14,33.93,21.1,30.99,16.62,28.92,7.54
2,1706814000,587.46,0.17,33.59,20.03,31.95,16.71,27.95,7.41
2,1706817600,580.79,0.23,33.93,18.24,33.86,17.59,28.81,7.22
2,1706821200,574.11,0.35,34.96,15.91,35.29,18.42,29.93,6.97
2,1706824800,587.46,0.75,37.01,11.8,38.15,19.33,31.15,6.9
2,1706828400,660.9,3.35,41.47,4.16,46.25,22.43,34.95,7.66
3,1706832000,934.6,15.87,42.16,0.56,60.56,32.18,47.57,10.39
3,1706835600,1335.14,32.63,42.5,2.24,74.39,41.6,60.36,13.05
3,1706839200,1522.06,39.34,46.61,4.78,82.97,44.02,64.88,14.95
3,1706842800,1495.36,34.42,57.58,8.76,89.65,43.22,63.87,15.07
2,1706846400,881.2,6.82,47.3,37.55,54.36,24.76,36.34,8.87
2,1706850000,787.73,3.05,42.84,61.51,52.45,23.45,32.42,7.85
3,1706853600,821.11,1.87,42.5,86.55,56.27,27.25,36.34,7.98
3,1706857200,847.82,1.33,42.5,101.57,58.17,30.66,40.06,8.23
3,1706860800,881.2,0.83,43.87,108.72,61.04,33.78,43.73,8.74
3,1706864400,854.49,0.41,42.16,113.01,55.31,31.82,42.46,8.61
3,1706868000,974.66,0.73,55.52,82.97,57.7,29.37,42.15,10.26
3,1706871600,1094.82,0.35,61.01,40.77,55.31,27.56,42.55,11.65
3,1706875200,1041.41,0.14,52.09,21.46,44.35,27.02,43.08,11.78
3,1706878800,934.6,0.19,43.87,20.03,36.72,27.95,44.99,11.02
3,1706882400,867.84,0.12,41.81,22.53,34.81,27.85,45.35,10.13
3,1706886000,814.44,0.07,39.76,25.39,33.38,27.21,44.04,9.5
2,1706889600,747.68,0.05,35.99,27.18,30.99,23.83,38.75,7.98
2,1706893200,627.52,0.07,31.87,25.75,27.89,18.02,30.01,6.02
2,1706896800,500.68,0.03,24.68,28.61,21.7,13.34,22.47,4.75
2,1706900400,447.27,0.03,22.96,28.61,20.5,11.57,19.3,4.56
2,1706904000,447.27,0.06,24.33,25.39,23.13,11.72,19.35,4.81
2,1706907600,453.95,0.1,26.05,22.17,25.27,12.14,20.01,5.07
2,1706911200,473.98,0.22,28.45,17.88,28.37,12.92,21.19,5.32
2,1706914800,520.71,0.73,32.9,11.27,33.86,14.79,23.7,6.02
2,1706918400,694.27,4.14,37.7,4.16,41.48,20.34,30.95,7.79
2,1706922000,921.25,14.98,32.9,11.8,47.21,24.8,37.26,9.37
3,1706925600,974.66,18.55,32.9,26.46,48.64,25.42,38.92,10.26
3,1706929200,881.2,12.18,35.3,60.8,48.16,25.8,39.29,9.75
3,1706932800,667.57,4.19,23.31,118.73,35.29,25.41,35.17,6.84
4,1706936400,640.87,2.07,18.34,164.51,34.81,32.52,40.78,6.14
5,1706940000,667.57,1.51,17.31,188.83,36.24,36.66,44.66,6.21
5,1706943600,687.6,1.41,18.34,191.69,37.19,37.75,45.42,6.4
5,1706947200,694.27,1.42,20.05,185.97,36.24,35.78,43.42,6.65
4,1706950800,647.54,1.26,20.22,164.51,29.33,27.25,34.66,6.46
