aqi,dt,co,no,no2,o3,so2,pm2_5,pm10,nh3
2,1709226000,507.35,0.0,25.02,47.21,22.17,14.02,24.06,5.7
2,1709229600,460.62,0.0,23.31,50.07,21.22,13.24,21.82,5.32
2,1709233200,453.95,0.0,23.99,49.35,22.65,13.92,22.21,5.57
2,1709236800,473.98,0.0,26.73,46.49,26.46,15.43,24.25,6.21
2,1709240400,500.68,0.0,30.16,41.84,30.52,16.75,26.09,6.9
2,1709244000,527.38,0.01,34.27,36.12,35.76,17.75,27.4,7.54
2,1709247600,594.14,0.06,41.13,27.54,43.39,19.55,29.44,8.61
3,1709251200,801.09,2.32,50.04,16.99,54.84,25.5,37.1,11.27
3,1709254800,1014.71,12.29,42.84,27.54,57.22,28.46,41.73,12.41
3,1709258400,1054.76,13.86,40.1,50.07,55.79,28.27,41.91,11.91
3,1709262000,961.3,8.05,38.04,107.29,56.27,32.67,45.83,10.77
4,1709265600,694.27,2.85,21.25,157.36,40.05,33.17,42.31,7.09
5,1709269200,620.84,1.76,16.45,180.24,36.24,36.85,44.39,6.02
5,1709272800,627.52,1.49,16.28,191.69,36.24,39.02,46.22,5.95
5,1709276400,660.9,1.4,19.19,200.27,39.1,42.3,49.54,6.27
5,1709280000,700.95,1.22,25.02,194.55,44.35,41.92,49.34,6.78
4,1709283600,694.27,0.8,28.79,164.51,41.96,32.32,39.64,6.71
3,1709287200,747.68,0.92,36.33,111.58,41.48,23.44,32.09,7.16
2,1709290800,827.79,0.48,42.16,59.37,39.58,20.29,31.22,7.85
2,1709294400,814.44,0.01,38.04,33.97,33.86,19.21,31.48,8.23
2,1709298000,754.36,0.02,33.24,30.4,29.09,18.66,31.8,8.36
2,1709301600,700.95,0.01,31.19,32.54,27.66,18.58,31.91,8.11
2,1709305200,680.92,0.01,30.5,33.97,27.66,19.51,33.06,8.04
2,1709308800,660.9,0.01,30.16,34.69,27.18,19.26,32.68,7.54
2,1709312400,620.84,0.01,31.19,32.9,28.37,17.6,29.84,6.9
2,1709316000,567.44,0.01,28.79,32.9,27.66,16.29,27.01,6.71
2,1709319600,587.46,0.04,32.9,25.75,31.95,18.42,28.87,8.23
2,1709323200,680.92,0.34,40.44,13.41,39.1,23.26,34.61,10.77
3,1709326800,747.68,2.12,43.87,3.93,43.87,27.51,39.79,12.41
3,1709330400,781.06,6.54,41.81,0.63,44.82,29.64,42.77,13.17
3,1709334000,827.79,12.41,40.78,0.1,48.16,31.91,45.69,13.68
3,1709337600,1014.71,20.56,41.13,0.87,55.31,38.38,53.77,15.33
3,1709341200,1214.98,28.61,39.07,9.92,61.99,41.58,57.63,16.21
3,1709344800,1401.9,29.06,51.41,30.4,76.29,48.82,66.19,17.99
5,1709348400,1602.17,19.0,78.14,95.84,101.09,75.83,95.84,19.76
3,1709352000,961.3,2.1,47.98,108.72,61.04,45.54,56.44,10.64
3,1709355600,767.71,1.01,35.3,100.14,48.64,32.78,40.76,7.98
3,1709359200,741.0,0.73,31.87,107.29,47.21,30.89,38.44,7.54
3,1709362800,727.65,0.69,31.53,111.58,46.25,30.38,37.35,7.28
3,1709366400,734.33,0.8,32.22,115.87,45.78,29.89,36.24,7.28
3,1709370000,720.98,0.69,30.5,118.73,42.44,27.13,32.92,6.97
2,1709373600,767.71,0.78,35.99,98.71,42.44,23.55,29.81,7.73
2,1709377200,794.41,0.32,37.7,57.22,36.72,18.29,26.2,8.36
2,1709380800,747.68,0.0,30.5,43.63,27.18,19.36,29.46,7.98
2,1709384400,734.33,0.0,25.36,55.07,22.65,23.45,35.21,7.79
2,1709388000,720.98,0.0,25.36,57.22,23.84,24.33,36.16,7.98
3,1709391600,734.33,0.0,27.42,50.78,26.46,25.23,37.18,8.61
3,1709395200,734.33,0.0,29.13,44.7,27.89,25.55,37.79,8.87
2,1709398800,700.95,0.0,29.82,40.77,28.13,24.39,36.17,8.36
2,1709402400,660.9,0.0,29.82,37.91,29.33,24.42,35.28,8.36
3,1709406000,674.25,0.01,33.59,32.19,33.38,27.18,37.61,9.25
3,1709409600,727.65,0.04,38.04,25.03,37.67,31.54,42.4,10.51
3,1709413200,774.38,0.12,42.16,18.95,41.48,35.35,46.73,11.27
3,1709416800,834.47,0.46,46.61,11.98,45.78,38.95,51.01,12.16
3,1709420400,934.6,3.69,53.47,2.84,56.27,44.54,57.66,13.68
4,1709424000,1214.98,18.1,55.52,1.4,77.25,57.21,72.8,16.97
4,1709427600,1482.01,34.42,55.52,12.16,99.18,66.97,83.93,18.75
5,1709431200,1762.39,37.1,70.6,32.9,113.49,79.25,98.66,20.77
5,1709434800,1922.61,22.35,94.59,101.57,125.89,110.75,132.97,20.01
5,1709438400,1241.68,3.74,50.04,171.66,72.48,79.16,93.01,11.53
5,1709442000,1028.06,1.68,30.16,211.72,59.13,76.04,87.21,8.87
5,1709445600,1028.06,0.98,23.31,251.77,59.13,86.71,97.67,8.23
5,1709449200,921.25,0.73,20.39,240.33,52.93,80.11,89.35,7.09
5,1709452800,894.55,0.71,21.25,208.85,45.78,64.63,73.39,6.9
4,1709456400,821.11,0.64,20.91,168.8,34.33,45.77,54.42,6.21
3,1709460000,761.03,0.74,23.99,117.3,26.7,30.18,38.45,5.7
2,1709463600,734.33,0.24,27.42,76.53,24.56,23.69,32.75,6.02
2,1709467200,700.95,0.0,26.05,57.94,22.89,21.41,32.11,6.59
2,1709470800,654.22,0.0,23.65,55.79,20.03,20.08,32.24,6.59
2,1709474400,594.14,0.0,20.91,59.37,17.64,18.14,30.35,5.89
2,1709478000,547.41,0.0,19.19,62.23,15.97,16.62,28.31,5.26
2,1709481600,500.68,0.0,17.65,65.09,14.31,14.44,25.62,4.37
2,1709485200,440.6,0.0,16.11,65.8,12.99,12.06,22.39,3.48
2,1709488800,423.91,0.0,18.16,62.94,15.74,11.62,21.59,3.51
2,1709492400,410.56,0.0,19.02,60.8,17.4,11.69,21.98,3.64
2,1709496000,413.89,0.0,20.56,57.94,19.55,12.22,23.02,3.89
2,1709499600,427.25,0.0,22.62,54.36,22.17,12.55,23.35,4.18
2,1709503200,447.27,0.0,25.36,50.07,25.27,12.81,23.12,4.56
2,1709506800,487.33,0.0,29.13,44.35,29.09,13.6,23.64,5.32
2,1709510400,627.52,0.43,35.99,35.76,35.29,17.26,28.33,7.16
2,1709514000,814.44,7.38,34.96,39.7,40.53,20.73,33.59,8.74
2,1709517600,867.84,10.28,34.96,58.65,44.35,22.56,36.68,9.25
3,1709521200,847.82,6.82,34.27,113.01,48.16,28.18,43.06,9.12
3,1709524800,707.63,1.17,31.19,117.3,41.96,24.33,36.07,7.22
3,1709528400,680.92,1.09,31.53,104.43,43.39,21.64,31.75,6.9
3,1709532000,700.95,1.02,31.87,111.58,45.3,22.76,32.6,7.16
3,1709535600,734.33,1.16,32.22,121.59,47.21,25.99,35.68,7.41
3,1709539200,714.3,1.4,29.82,134.47,44.35,26.5,36.89,7.03
3,1709542800,620.84,1.37,25.02,127.32,31.95,19.34,29.74,5.7
2,1709546400,634.19,1.93,30.5,88.69,29.33,13.78,23.21,5.7
2,1709550000,734.33,0.7,38.39,54.36,32.42,13.98,23.81,6.9
2,1709553600,761.03,0.0,37.7,41.84,31.47,16.01,27.06,7.66
2,1709557200,734.33,0.0,36.33,37.55,29.09,16.89,29.02,7.73
2,1709560800,700.95,0.01,35.3,35.41,28.13,17.06,29.54,7.6
2,1709564400,694.27,0.01,34.62,33.97,28.13,17.57,29.9,7.35
2,1709568000,660.9,0.01,33.24,33.97,26.94,16.36,27.9,6.33
2,1709571600,574.11,0.01,30.16,36.48,24.56,13.08,22.82,4.81
2,1709575200,507.35,0.0,28.1,38.98,23.37,11.8,20.4,4.18
2,1709578800,480.65,0.0,28.45,38.98,24.08,12.13,20.83,4.18
2,1709582400,494.0,0.01,31.53,34.33,27.66,13.66,23.27,4.69
2,1709586000,520.71,0.04,35.64,27.89,31.95,15.48,26.26,5.32
2,1709589600,554.08,0.14,40.1,20.74,37.19,17.21,28.8,5.83
2,1709593200,594.14,0.47,43.87,13.95,41.96,18.71,30.86,6.4
2,1709596800,734.33,2.93,47.3,8.67,48.64,22.97,36.47,7.92
3,1709600400,907.9,12.41,42.16,16.99,52.45,26.13,40.42,8.99
3,1709604000,1028.06,17.43,44.55,24.68,57.7,28.3,42.39,9.88
3,1709607600,1081.47,16.32,54.15,33.62,65.8,31.76,46.1,10.39
3,1709611200,988.01,11.06,56.21,55.79,65.8,32.91,46.22,9.88
3,1709614800,961.3,7.93,55.52,103.0,70.57,40.99,54.18,9.5
5,1709618400,1014.71,4.69,50.72,183.11,78.2,67.18,81.18,8.99
5,1709622000,1041.41,2.18,37.7,271.8,75.34,109.6,123.64,8.04
5,1709625600,1028.06,1.22,31.53,311.85,68.66,131.61,145.16,7.85
5,1709629200,1014.71,0.85,32.56,311.85,64.85,128.94,142.55,8.36
5,1709632800,1295.09,0.72,56.89,263.21,81.06,120.38,136.74,12.79
5,1709636400,1695.63,0.16,78.83,163.08,93.46,98.77,119.67,18.49
4,1709640000,1655.58,0.0,69.92,65.09,72.48,63.83,87.2,19.76
3,1709643600,1295.09,0.11,52.09,22.35,45.78,40.37,62.56,16.47
