aqi,dt,co,no,no2,o3,so2,pm2_5,pm10,nh3
3,1704042000,881.2,0.18,33.93,16.99,24.32,30.67,48.56,8.04
3,1704045600,961.3,1.51,38.73,6.71,28.85,34.19,53.02,8.87
3,1704049200,1081.47,8.94,40.78,0.39,36.72,42.79,63.43,10.13
4,1704052800,1321.79,23.47,42.84,0.0,44.82,59.08,82.27,10.64
5,1704056400,1535.42,32.19,50.72,0.0,44.82,75.64,100.5,10.13
5,1704060000,1602.17,30.85,55.52,0.0,37.19,81.63,105.64,9.12
5,1704063600,1602.17,29.06,50.72,0.0,31.95,81.71,106.57,9.25
5,1704067200,1842.5,31.74,42.84,0.26,32.42,89.15,118.81,11.78
5,1704070800,1895.9,38.0,37.01,4.16,42.92,85.42,116.37,12.54
5,1704074400,1869.2,37.55,40.1,11.98,52.45,76.71,104.36,15.2
4,1704078000,1708.98,28.39,54.84,32.54,62.94,71.88,96.07,17.48
3,1704081600,821.11,4.69,40.44,50.07,39.1,35.62,45.81,7.92
3,1704085200,694.27,1.41,41.13,43.63,39.58,28.83,36.27,6.71
3,1704088800,761.03,1.08,51.41,33.62,51.98,29.46,36.76,7.6
3,1704092400,834.47,0.47,61.01,24.32,61.04,30.38,37.8,8.23
3,1704096000,881.2,0.35,67.86,16.99,66.76,30.79,38.51,8.74
3,1704099600,907.9,0.29,69.92,14.66,67.71,29.64,37.79,8.87
3,1704103200,1148.22,4.58,80.2,4.02,76.29,33.13,43.96,11.91
3,1704106800,1482.01,15.87,78.14,0.09,79.15,41.23,57.06,16.72
3,1704110400,1535.42,18.78,61.69,0.03,64.85,45.85,65.73,19.25
3,1704114000,1482.01,16.99,47.98,0.05,51.02,47.13,70.44,19.76
3,1704117600,1428.6,16.99,41.13,0.05,46.73,48.12,73.86,19.0
4,1704121200,1428.6,19.0,37.7,0.03,46.73,50.95,78.5,18.24
4,1704124800,1468.66,21.68,34.96,0.01,44.82,54.01,82.94,16.97
4,1704128400,1508.71,23.47,33.93,0.01,40.05,53.72,82.82,14.31
4,1704132000,1482.01,24.36,34.27,0.0,37.67,52.73,81.61,12.92
4,1704135600,1588.82,29.95,33.59,0.0,38.15,61.91,91.59,14.82
5,1704139200,1842.5,39.79,31.87,0.0,42.92,80.41,112.43,22.04
5,1704142800,2109.53,49.17,31.53,0.0,53.41,100.16,134.59,33.44
5,1704146400,2349.85,58.11,31.87,0.0,63.9,118.97,155.59,43.06
5,1704150000,2563.48,64.37,30.5,0.0,57.7,131.81,169.29,36.98
5,1704153600,3044.13,71.53,28.1,0.08,50.54,148.56,189.34,27.61
5,1704157200,3231.05,72.42,30.16,0.99,49.59,140.78,181.07,18.75
5,1704160800,3738.4,80.47,36.33,2.06,55.79,150.63,196.24,21.53
5,1704164400,3845.21,76.0,48.67,2.21,61.99,150.86,199.59,26.85
3,1704168000,1028.06,11.73,41.47,22.17,38.15,41.18,55.74,7.66
3,1704171600,754.36,5.87,31.19,58.65,31.95,30.44,39.13,5.89
3,1704175200,774.38,3.97,28.1,114.44,34.81,43.47,51.43,5.83
4,1704178800,774.38,2.35,24.68,167.37,37.67,61.69,69.27,5.7
5,1704182400,794.41,1.82,28.1,185.97,44.35,71.84,79.43,5.95
5,1704186000,841.14,1.3,34.27,185.97,51.02,76.2,84.42,6.4
