aqi,dt,co,no,no2,o3,so2,pm2_5,pm10,nh3
3,1696208400,1255.04,23.92,19.36,0.33,35.76,34.55,41.3,7.92
3,1696212000,1268.39,23.92,21.42,0.93,36.24,34.43,41.53,7.35
3,1696215600,1108.17,17.43,24.68,2.53,32.9,28.62,34.56,6.21
2,1696219200,674.25,4.3,20.39,14.13,19.07,13.88,16.85,3.61
2,1696222800,560.76,3.35,19.02,26.46,20.27,11.0,13.65,3.48
2,1696226400,560.76,3.63,21.25,33.62,24.08,11.74,14.6,3.86
2,1696230000,594.14,2.21,27.42,28.25,27.42,13.02,16.31,4.43
2,1696233600,647.54,2.43,33.93,16.63,32.42,15.34,19.0,5.0
2,1696237200,700.95,3.27,37.7,8.4,34.81,17.13,20.71,5.13
2,1696240800,867.84,9.72,39.76,1.7,41.01,21.7,25.95,5.89
3,1696244400,1188.28,24.36,38.04,0.03,51.5,31.57,37.8,7.73
3,1696248000,1548.77,38.44,38.73,0.0,63.9,46.91,56.34,11.02
4,1696251600,2162.93,60.8,43.53,0.0,85.83,73.45,87.77,14.82
5,1696255200,2429.96,76.0,45.93,0.0,100.14,92.61,108.68,15.58
5,1696258800,2376.56,76.89,43.87,0.0,97.27,97.81,113.18,14.82
5,1696262400,2002.72,60.8,38.39,0.0,78.2,82.49,94.84,12.03
4,1696266000,1562.12,40.68,33.93,0.0,56.74,60.77,69.03,8.49
3,1696269600,1308.44,25.26,31.87,0.0,41.96,47.75,52.93,6.4
3,1696273200,1174.93,13.97,29.47,0.06,30.52,40.59,43.97,5.19
3,1696276800,1174.93,10.17,28.79,0.13,27.18,39.75,42.69,5.07
3,1696280400,1188.28,10.39,28.45,0.11,28.37,40.74,43.8,5.38
3,1696284000,1228.33,14.53,28.45,0.03,32.9,42.33,45.8,5.83
3,1696287600,1281.74,22.13,28.1,0.0,40.05,45.12,49.37,6.71
4,1696291200,1508.71,33.53,27.76,0.01,51.02,54.03,60.56,9.12
4,1696294800,1895.9,51.86,30.5,0.76,69.62,68.59,78.14,11.91
4,1696298400,1949.31,52.75,37.36,4.38,75.34,72.6,83.09,11.78
4,1696302000,1668.93,33.08,43.87,17.17,63.9,63.58,72.44,10.26
3,1696305600,1068.12,9.95,29.82,42.2,34.81,37.11,41.57,6.33
3,1696309200,841.14,5.09,27.42,49.35,31.47,29.79,33.38,5.83
3,1696312800,794.41,3.05,33.24,47.21,35.76,29.87,33.53,6.33
3,1696316400,774.38,3.46,34.62,50.78,38.15,31.96,35.79,6.78
3,1696320000,747.68,3.44,34.62,53.64,37.67,32.54,36.78,7.35
3,1696323600,727.65,2.65,31.19,52.21,32.42,29.65,34.24,7.22
3,1696327200,867.84,1.2,36.33,51.5,33.38,40.19,45.87,7.54
4,1696330800,1028.06,0.05,39.07,48.64,33.38,52.28,58.54,7.28
3,1696334400,1054.76,0.01,37.7,35.76,30.28,48.75,55.01,6.52
3,1696338000,1081.47,0.78,40.1,12.87,30.04,40.96,47.75,6.46
3,1696341600,1068.12,4.64,36.33,1.83,29.33,36.43,43.86,6.65
3,1696345200,1054.76,9.5,30.5,0.22,28.37,35.05,42.89,6.97
3,1696348800,1014.71,11.73,26.39,0.07,26.46,32.52,39.83,6.78
3,1696352400,921.25,12.29,23.99,0.04,24.56,28.05,34.68,6.14
3,1696356000,847.82,12.29,22.62,0.04,24.32,25.47,31.93,6.08
2,1696359600,774.38,10.73,21.59,0.08,22.89,22.93,29.12,6.02
2,1696363200,734.33,10.62,21.25,0.09,23.84,21.9,27.91,6.14
2,1696366800,734.33,12.29,21.08,0.05,26.46,22.3,28.37,6.46
2,1696370400,747.68,15.65,21.25,0.02,31.47,23.67,29.98,6.84
2,1696374000,761.03,16.54,20.56,0.02,31.95,23.92,30.29,7.03
2,1696377600,834.47,16.76,19.88,0.55,31.47,24.84,31.76,7.66
3,1696381200,934.6,18.78,20.91,1.32,34.81,25.4,32.25,7.54
2,1696384800,934.6,18.33,22.62,1.54,36.72,24.3,30.69,7.16
2,1696388400,841.14,13.63,24.33,1.9,34.81,21.68,27.31,6.71
2,1696392000,640.87,6.98,19.54,15.74,25.03,14.26,18.05,5.0
2,1696395600,580.79,6.54,17.65,28.61,24.8,12.35,15.62,4.81
2,1696399200,587.46,6.59,18.16,43.27,26.7,14.14,17.59,5.26
2,1696402800,587.46,4.47,18.51,60.08,25.51,16.41,19.84,5.32
2,1696406400,600.81,2.46,19.88,65.09,23.6,18.11,21.27,5.26
2,1696410000,634.19,0.85,21.08,63.66,21.46,20.39,23.35,5.13
3,1696413600,1161.58,0.89,38.73,33.26,26.23,32.89,38.91,8.99
4,1696417200,1949.31,7.49,52.78,3.49,32.9,54.36,65.61,12.03
5,1696420800,2616.88,24.81,49.35,0.02,40.53,82.13,99.91,14.69
5,1696424400,3364.56,42.02,49.35,0.0,50.07,120.31,146.71,17.99
5,1696428000,3391.27,46.49,45.93,0.0,50.07,134.19,164.11,16.97
5,1696431600,2750.4,38.0,41.47,0.0,43.39,114.74,142.6,14.57
5,1696435200,2029.42,25.93,37.7,0.0,35.29,83.2,105.98,11.78
4,1696438800,1642.23,21.9,34.62,0.0,30.99,65.47,84.1,9.63
4,1696442400,1441.96,21.01,31.53,0.0,30.28,57.61,73.47,8.74
4,1696446000,1308.44,19.89,28.45,0.0,28.13,54.01,67.2,8.61
4,1696449600,1321.79,21.23,25.7,0.0,26.7,56.0,68.49,9.37
4,1696453200,1401.9,25.03,23.99,0.0,28.61,60.85,73.36,10.51
4,1696456800,1508.71,32.19,22.96,0.0,33.86,67.14,80.27,11.4
4,1696460400,1562.12,37.1,21.59,0.0,38.15,68.71,82.85,11.53
4,1696464000,1642.23,40.23,21.76,1.01,46.25,67.13,83.3,12.54
3,1696467600,1388.55,37.1,28.45,4.38,59.13,49.41,61.82,10.39
3,1696471200,1348.5,30.4,34.96,11.98,60.08,46.37,57.93,10.13
3,1696474800,1121.52,15.2,37.7,35.76,51.02,42.5,52.08,8.99
3,1696478400,774.38,4.47,25.36,69.38,31.95,32.24,38.2,6.4
3,1696482000,694.27,2.29,24.33,72.24,29.33,28.62,33.17,5.95
3,1696485600,720.98,0.96,28.79,60.08,31.47,27.99,32.22,6.46
3,1696489200,761.03,0.02,32.22,41.48,32.9,27.85,31.86,6.71
3,1696492800,847.82,0.16,36.67,26.11,35.76,30.59,34.72,6.97
3,1696496400,961.3,0.47,39.41,17.88,35.76,34.99,39.12,6.59
3,1696500000,1214.98,2.91,49.35,6.79,42.92,45.13,50.5,7.54
4,1696503600,1548.77,12.52,50.72,0.28,51.02,57.37,65.24,8.99
4,1696507200,1762.39,21.9,47.3,0.01,55.31,68.5,79.17,10.64
5,1696510800,2590.18,40.23,47.3,0.0,61.99,103.47,123.7,16.21
5,1696514400,3471.37,58.11,44.55,0.0,61.99,147.82,180.65,20.01
5,1696518000,3791.81,63.48,41.13,0.0,56.74,171.36,211.17,20.52
5,1696521600,3631.59,59.9,38.04,0.0,47.21,165.36,200.98,19.0
5,1696525200,3417.97,59.9,36.33,0.0,41.96,153.58,184.07,16.47
5,1696528800,3417.97,64.37,35.3,0.0,43.87,154.18,181.86,17.23
5,1696532400,3284.45,67.06,33.24,0.0,44.35,154.73,180.08,17.48
5,1696536000,3177.64,70.63,30.16,0.0,44.35,157.72,180.97,18.75
5,1696539600,3231.05,77.78,27.76,0.0,46.73,168.9,191.68,21.53
5,1696543200,3311.16,86.72,27.08,0.0,51.5,179.21,201.77,22.55
5,1696546800,3284.45,88.51,23.99,0.0,50.07,177.07,199.4,19.76
5,1696550400,3150.94,79.57,22.28,0.16,51.5,156.47,180.46,18.49
5,1696554000,1815.8,54.54,27.42,0.19,66.76,78.1,92.2,11.53
4,1696557600,1575.47,44.26,26.73,0.66,60.56,58.38,70.16,10.39
3,1696561200,1214.98,25.93,27.42,2.77,47.21,41.04,49.87,8.99
2,1696564800,727.65,4.69,23.31,23.25,24.8,20.4,24.67,5.13
2,1696568400,620.84,1.49,22.62,31.83,22.89,15.01,18.18,4.56
2,1696572000,627.52,0.64,25.02,31.83,24.8,14.33,17.36,4.75
2,1696575600,680.92,0.23,29.82,25.03,29.56,16.13,19.37,5.26
2,1696579200,767.71,0.43,35.3,16.09,34.81,20.03,23.6,5.76
2,1696582800,854.49,0.68,37.36,11.98,35.76,23.78,27.45,5.7
3,1696586400,1108.17,5.81,44.55,3.31,44.82,31.34,36.28,6.84
3,1696590000,1535.42,23.47,45.24,0.04,61.04,44.63,52.35,9.12
4,1696593600,2002.72,45.6,46.61,0.0,82.02,64.87,76.31,12.29
5,1696597200,5020.14,118.02,52.78,0.0,100.14,189.0,221.63,26.09
5,1696600800,8865.36,200.27,54.84,0.0,104.9,370.97,427.83,36.48
5,1696604400,11322.02,253.92,54.15,0.0,110.63,518.0,585.1,46.1
5,1696608000,12924.19,293.25,53.47,0.0,117.3,627.79,690.23,57.25
5,1696611600,13458.25,314.71,52.78,0.0,112.53,663.39,714.66,57.25
5,1696615200,12390.14,300.41,50.04,0.0,99.18,620.95,658.25,53.7
5,1696618800,10787.96,268.22,45.24,0.0,82.97,556.27,583.09,50.16
5,1696622400,9826.66,253.92,39.41,0.0,68.66,531.21,554.06,43.06
5,1696626000,9292.6,250.34,35.3,0.0,58.17,527.72,548.47,35.97
5,1696629600,8758.54,243.19,31.87,0.0,51.02,506.3,526.13,28.63
5,1696633200,8651.73,246.76,26.73,0.0,41.48,510.74,530.59,20.27
5,1696636800,8865.36,250.34,21.93,0.0,39.1,523.24,546.15,17.73
5,1696640400,3177.64,80.47,31.19,0.09,47.68,166.69,180.98,9.63
5,1696644000,2136.23,48.28,30.16,0.19,48.16,95.16,107.6,9.5
4,1696647600,1575.47,35.32,29.82,0.3,48.64,62.83,72.75,8.87
3,1696651200,867.84,11.29,26.73,9.83,31.47,26.29,31.18,5.38
2,1696654800,674.25,6.76,22.28,29.33,28.13,17.32,20.79,4.88
2,1696658400,660.9,5.25,21.76,57.22,29.56,19.02,22.32,5.07
3,1696662000,794.41,4.92,27.76,73.67,34.81,27.97,32.38,6.97
3,1696665600,934.6,5.2,35.64,50.07,36.72,31.9,37.14,7.6
3,1696669200,1001.36,4.25,39.07,19.49,31.47,29.47,34.27,6.08
3,1696672800,1161.58,7.71,39.76,1.97,30.28,29.83,34.66,5.83
3,1696676400,1455.31,20.56,36.67,0.04,37.67,37.13,43.4,7.16
4,1696680000,1789.09,34.42,36.67,0.0,50.54,51.54,60.77,10.01
5,1696683600,2456.67,55.43,42.84,0.0,71.53,84.15,99.09,15.96
5,1696687200,3150.94,76.89,46.61,0.0,86.78,123.44,145.38,21.53
5,1696690800,3631.59,92.98,47.3,0.0,93.46,157.43,185.66,25.59
5,1696694400,4058.84,107.29,43.87,0.0,88.69,189.17,223.69,28.88
5,1696698000,4753.11,130.53,41.81,0.0,82.97,228.12,265.9,30.15
5,1696701600,5233.76,151.99,44.55,0.0,82.97,266.36,300.41,32.17
5,1696705200,5554.2,164.51,45.24,0.0,74.39,297.81,330.47,35.97
5,1696708800,5767.82,171.66,43.87,0.0,62.94,327.26,357.12,38.5
5,1696712400,5981.45,177.03,43.87,0.0,57.7,354.8,380.46,38.0
5,1696716000,6141.66,180.6,47.3,0.0,57.7,379.02,402.82,36.98
